NAME,TEAM,AGE,MPG,PPG,RPG,APG,SPG,BPG,TOPG
Garrett Temple,Chi,35.03,27.3,7.6,2.8,2.2,0.77,0.52,1.02
Tristan Thompson,Bos,30.18,23.8,7.6,8.1,1.2,0.44,0.61,1.15
Patrick Beverley,Lac,32.84,22.5,7.5,3.2,2.1,0.76,0.76,0.92
Henry Ellenson,Tor,24.34,19.2,7.5,6,2.5,0,0.5,0
Malachi Flynn,Tor,23.02,19.7,7.5,2.5,2.9,0.83,0.15,0.91
Jaxson Hayes,Nor,20.98,16.1,7.5,4.3,0.6,0.42,0.63,0.65
DeAndre Jordan,Bro,32.82,21.9,7.5,7.5,1.6,0.3,1.14,1.49
Edmond Sumner,Ind,25.38,16.2,7.5,1.8,0.9,0.62,0.19,0.96
Jalen Harris,Tor,22.76,13.2,7.4,1.4,1.3,0.62,0,1.08
Jalen McDaniels,Cha,23.29,19.2,7.4,3.6,1.1,0.6,0.4,0.96
Ben McLemore,Hou,28.26,16.8,7.4,2.1,0.9,0.63,0.09,0.88
Louis King,Sac,22.11,14.2,7.3,3,1.5,1.17,0.5,0.67
Austin Rivers,Nyk,28.79,21.1,7.3,2.2,2,0.57,0,1.05
Dennis Smith Jr.,Det,23.47,19.6,7.3,2.7,3.7,1,0.7,1.25
Kent Bazemore,Gol,31.88,19.9,7.2,3.4,1.6,1.03,0.49,1.22
Nemanja Bjelica,Sac,33.02,16.9,7.2,3.8,1.9,0.31,0.08,1.08
Torrey Craig,Pho,30.41,18.8,7.2,4.8,1,0.59,0.59,0.63
Juancho Hernangomez,Min,25.63,17.3,7.2,3.9,0.7,0.37,0.13,0.52
Aaron Holiday,Ind,24.63,17.8,7.2,1.3,1.9,0.7,0.2,1
Justin Jackson,Okc,26.14,16.5,7.2,2.2,1.5,0.45,0.06,0.94
Dewayne Dedmon,Mia,31.76,13.2,7.1,5.4,0.8,0.56,0.38,0.81
Maxi Kleber,Dal,29.3,26.8,7.1,5.2,1.4,0.48,0.7,0.6
Alex Len,Was,27.92,15.8,7.1,4.4,0.8,0.33,1.02,0.82
